month,15time,15pro,16time,16pro,17time,17pro,18time,18pro,19time,19pro,20time,20pro,21time,21pro,
1,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,외계행성,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,한국의 북천(2024),
2,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,놀라운 우주탐사,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,5000Eyes: DESI,
3,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,한국의 북천,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,우리별 이야기,
4,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,블랙홀,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,한국의 북천(2024),
5,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,검은 해 붉은 달,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,5000Eyes: DESI,
6,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,명왕성,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,우리별 이야기,
7,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,외계행성,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,한국의 북천(2024),
8,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,놀라운 우주탐사,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,5000Eyes: DESI,
9,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,한국의 북천,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,우리별 이야기,
10,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,블랙홀,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,한국의 북천(2024),
11,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,검은 해 붉은 달,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,5000Eyes: DESI,
12,15:00 ~ 15:25,Solar Quest,16:00 ~ 16:25,밤하늘(별자리) 설명,17:00 ~ 17:25,명왕성,17:25 ~ 19:00,저녁시간,19:00 ~ 19:25,밤하늘의 숨겨진 세상,20:00 ~ 20:25[줄바꿈]20:00 ~ 20:50,밤하늘(별자리) 설명[줄바꿈](화: 시낭송회 / 토: 별음악회),21:00 ~ 21:25,우리별 이야기,